encoded,labels
0,Australian Cattle Dog
1,Australian Shepherd
2,Basset Hound
3,Beagle
4,Belgian Malinois
5,Bernese Mountain Dog
6,Bichon Frise
7,Bloodhound
8,Border Collie
9,Boston Terrier
10,Boxer
11,Brittany
12,Bulldog
13,Cane Corso
14,Cavalier King Charles Spaniel
15,Chihuahua
16,Cocker Spaniel
17,Collie
18,Dachshund
19,Dalmatian
20,Doberman Pinscher
21,English Cocker Spaniel
22,English Springer Spaniel
23,French Bulldog
24,German Shepherd Dog
25,German Shorthaired Pointer
26,Golden Retriever
27,Great Dane
28,Havanese
29,Labrador Retriever
30,Maltese
31,Mastiff
32,Miniature American Shepherd
33,Miniature Schnauzer
34,Newfoundland
35,Pembroke Welsh Corgi
36,Pomeranian
37,Poodle
38,Portuguese Water Dog
39,Pug
40,Rhodesian Ridgeback
41,Rottweiler
42,Shetland Sheepdog
43,Shiba Inu
44,Shih Tzu
45,Siberian Husky
46,Vizsla
47,Weimaraner
48,West Highland White Terrier
49,Yorkshire Terrier
