Breed,Bites(scaled and adjusted for population)
PitBulls,1.0
Rottweiler,0.6963861577517717
Akita,0.5812870372169793
Chow Chow,0.4424162832619804
Cane Corso,0.36088977796686766
Doberman Pinscher,0.3439229671828357
Siberian Husky,0.24861115427773336
"Bull Dog, French",0.2335312171532633
Poodles,0.21403696912407721
"Bull Dog, English",0.17899615938041522
Cocker Spaniel,0.14898686091589006
Boxer,0.14359410687704424
Chihuahua,0.1374271305204881
Dachshund Smooth Coat,0.11839707368865036
Shih Tzu,0.11811866863899308
