Breed,Count,Population,Bites(adjusted),Bites(scaled)
PitBulls,5093,26690,0.19082053203446983,1.0
Rottweiler,316,2378,0.1328847771236333,0.6963861577517717
Akita,65,586,0.11092150170648464,0.5812870372169793
Chow Chow,84,995,0.08442211055276382,0.4424162832619804
Cane Corso,71,1031,0.06886517943743937,0.36088977796686766
Doberman Pinscher,80,1219,0.06562756357670221,0.3439229671828357
Siberian Husky,303,6387,0.04744011272898074,0.24861115427773336
"Bull Dog, French",109,2446,0.04456255110384301,0.2335312171532633
Poodles,380,9304,0.040842648323301804,0.21403696912407721
"Bull Dog, English",119,3484,0.03415614236509759,0.17899615938041522
Cocker Spaniel,172,6050,0.028429752066115702,0.14898686091589006
Boxer,109,3978,0.027400703871292106,0.14359410687704424
Chihuahua,646,24634,0.02622391816189007,0.1374271305204881
Dachshund Smooth Coat,61,2700,0.02259259259259259,0.11839707368865036
Shih Tzu,731,32432,0.022539467192895905,0.11811866863899308
Terriers,920,44452,0.020696481598128317,0.10846045432044861
Lhasa Apso,54,2638,0.02047005307050796,0.10727384968620803
Maltese,371,18377,0.020188278826794363,0.10579720437603408
Miniature Pinscher,60,3594,0.01669449081803005,0.08748791673536659
Shiba Inu,127,7696,0.016502079002079003,0.08647957757029032
Beagle,142,8998,0.015781284729939987,0.0827022362933631
Labrador Retriever,282,18902,0.014919056184530738,0.07818370500002463
Golden Retriever,133,9253,0.014373716632443531,0.07532583878262672
Bichon Frise,72,5020,0.014342629482071713,0.07516292575623287
German Shepherd Crossbreed,81,6372,0.012711864406779662,0.0666168586328194
Australian Shepherd,67,5745,0.011662315056570931,0.061116667751792295
Pomeranian,119,11953,0.009955659667029198,0.05217289544728241
Labrador Retriever Crossbreed,160,16532,0.009678199854827003,0.050718860028535775
Chihuahua Crossbreed,87,9633,0.00903145437558393,0.047329573391779914
Havanese,63,10658,0.005911052730343404,0.03097702677652964
